,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],0.01,0.02,-0.027,0.048,0.0,0.0,7252.213,4355.414,1.001
alpha[1],-0.015,0.02,-0.051,0.024,0.0,0.0,7841.641,4298.804,1.001
"B[0, 0]",-0.053,0.024,-0.096,-0.007,0.0,0.0,7198.93,5015.742,1.0
"B[0, 1]",0.093,0.023,0.047,0.134,0.0,0.0,5905.656,4655.15,1.0
"B[1, 0]",-0.08,0.024,-0.126,-0.039,0.0,0.0,7122.885,5095.82,1.0
"B[1, 1]",0.025,0.024,-0.018,0.069,0.0,0.0,6420.328,4957.363,1.0
"B[2, 0]",-0.036,0.02,-0.073,0.002,0.0,0.0,8994.306,4979.679,1.0
"B[2, 1]",0.012,0.02,-0.025,0.049,0.0,0.0,8863.593,4704.599,1.0
"B[3, 0]",-0.164,0.021,-0.201,-0.123,0.0,0.0,7879.398,4638.327,1.001
"B[3, 1]",0.144,0.021,0.107,0.184,0.0,0.0,7013.552,4979.624,1.0
"B[4, 0]",-0.01,0.021,-0.051,0.028,0.0,0.0,7085.21,4731.526,1.0
"B[4, 1]",0.036,0.021,-0.005,0.075,0.0,0.0,8035.36,4662.444,1.0
"B[5, 0]",-0.028,0.048,-0.117,0.061,0.001,0.001,7219.758,4620.179,1.001
"B[5, 1]",0.131,0.048,0.045,0.226,0.001,0.001,6899.976,4503.866,1.0
"Sigma[0, 0]",0.969,0.028,0.92,1.024,0.0,0.0,9389.274,4660.862,1.004
"Sigma[0, 1]",-0.469,0.021,-0.509,-0.429,0.0,0.0,8605.014,4496.871,1.001
"Sigma[1, 0]",-0.469,0.021,-0.509,-0.429,0.0,0.0,8605.014,4496.871,1.001
"Sigma[1, 1]",0.954,0.028,0.902,1.006,0.0,0.0,10976.318,4543.648,1.0
